event_id,event_name,platform,event_status,event_group,event_desc,param_count,param_keys
ads_unlock_finish,看完广告成功解锁对应订阅功能,"Android,iOS",已管理,,看完广告成功解锁对应订阅功能时触发（内置广告解锁，看广告时触发;俄罗斯广告全部解锁：观看完X个广告成功解锁全部功能触发）,12,"ad_unit_id,ad_format,network_placement,material,func,meepo_abcode,network_name,trace_info,source,type,meepo_abcount,ad_placement"
ads_unlock_show,广告解锁弹窗曝光,"Android,iOS",已管理,,广告解锁弹窗曝光时触发,6,"account_id,func,meepo_abcode,trace_info,source,meepo_abcount"
ads_unlock_watch,广告视频解锁，看完广告,"Android,iOS",已管理,,广告视频解锁，看完广告时触发（内置广告解锁，看广告时触发）,12,"ad_unit_id,ad_format,network_placement,material,func,meepo_abcode,network_name,trace_info,source,type,meepo_abcount,ad_placement"
ai_func_delivery,请求ai算法,"Android,iOS",已管理,,请求（是否拦截）的时候上报（缓存不报）,20,"func_key,second_func,mod,is_create_task,trace_info,is_retry,theme_type,meepo_abcount,second_func_order,fourth_func,is_batch,func,category_id,meepo_abcode,pic_num,first_func,first_func_order,third_func,material_id,material_name"
ai_func_pic_upload,,"Android,iOS",未管理,,,5,"meepo_abcode,trace_info,time,is_success,meepo_abcount"
ai_func_use_result,使用ai算法请求结果返回,"Android,iOS",已管理,,使用ai算法请求结果返回时触发,36,"mod,gender,trace_info,is_retry,task_id,is_generate_again,is_success,theme_type,meepo_abcount,icon_name,second_func_order,component_version,mode,is_batch,tab,category_id,meepo_abcode,pic_num,first_func,third_func,first_func_order,from,material_name,func_key,trace_id,second_func,module,is_tag,fourth_func,func,is_recommend,if_search,third_func_order,material_id,error_code,time"
ai_repair_expb_cache_hit,,Android,未管理,,,5,"ab_group,meepo_abcode,trace_info,meepo_abcount,scene"
ai_repair_expb_enter,,Android,未管理,,,4,"ab_group,meepo_abcode,trace_info,meepo_abcount"
ai_repair_expb_scene_click,,Android,未管理,,,5,"ab_group,meepo_abcode,trace_info,meepo_abcount,scene"
ai_repair_expb_task_failure,,Android,未管理,,,7,"ab_group,meepo_abcode,trace_info,time,error,meepo_abcount,scene"
ai_repair_expb_task_success,,Android,未管理,,,6,"ab_group,meepo_abcode,trace_info,time,meepo_abcount,scene"
ai_style_face_toast_show,,iOS,未管理,,,1,type
album_access_click,系统相册授权弹窗点击,"Android,iOS",已管理,,,2,"button,trace_info"
album_access_show,系统相册授权弹窗曝光,"Android,iOS",已管理,,,1,trace_info
album_click,点击相册照片或者视频,"Android,iOS",已管理,,点击相册照片或者视频时上报,9,"swipe_count,meepo_abcode,length,trace_info,first_source,album_type,meepo_abcount,click_length,second_source"
album_enter,进入相册,"Android,iOS",已管理,,进入相册时触发,5,"album_enter_from,meepo_abcode,trace_info,meepo_abcount,album_enter"
album_enterfunction,,Android,未管理,,,5,"mode,if_search,icon_name,分类,component_version"
album_iclouddownload,,iOS,未管理,,,4,"mode,icon_name,分类,component_version"
album_show,首屏相册展示,"Android,iOS",已管理,,首屏相册展示完成上报,6,"account_id,meepo_abcode,trace_info,album_type,time,meepo_abcount"
album_swipe,相册单次滑动停止,"Android,iOS",已管理,,在外漏相册页面，单次左右滑动停止时上报；在全屏幕相册页面，单次上下滑动停止时上报；,9,"account_id,roll_length,meepo_abcode,length,trace_info,first_source,album_type,meepo_abcount,second_source"
app_end,,"Android,iOS",未管理,,,1,end_type
app_exitinfo,,Android,未管理,,,16,"reason,process,reason_code_name,importance,description,pid,pss,rss,last_activity,packageUid,exit_info,state,realUid,timestamp,status,definingUid"
app_language,,"Android,iOS",未管理,,,1,language
app_list,,Android,未管理,,,1,$package_name
app_load_sku_info,,iOS,未管理,,,5,"prf_load_error_sku_list,load_type,load_time,error_code,prf_load_sku_list"
app_open_show,开屏页面曝光,"Android,iOS",已管理,,开屏页面曝光,5,"account_id,meepo_abcode,is_hot,trace_info,meepo_abcount"
app_start,app启动,"Android,iOS",已管理,,,9,"referrer,is_vm,in_sc,finger_print,last_upload_time,first_start,first_launch,launch_type,$launch_source"
app_validate_order_fail,,iOS,未管理,,,5,"validate_source,trace_info,error_code,validate_time,current_sku"
app_warning,,Android,未管理,,,6,"mode,exception,message,icon_name,class,component_version"
appstore_pay_fail,付费失败,"Android,iOS",已管理,,付费失败时上报,6,"account_id,meepo_abcode,prf_fail_reason,trace_info,current_sku,meepo_abcount"
appstore_restore_request_fail,,iOS,未管理,,,4,"account_id,load_time,trace_info,error_code"
aw_purchasekit_legacy_usage,,iOS,未管理,,,15,"has_grace_period,item,has_subscription_expiry,valid_count,trace_info,scene,result,entry,account_id,aw_hit,product_id,has_value,has_expire_date,api,is_trial"
back_click,,iOS,未管理,,,4,"mode,classify,icon_name,component_version"
background_adjust_use,,Android,未管理,,,0,
background_select_use,,Android,未管理,,,0,
banner_dropdown,下拉模块手动展开,"Android,iOS",已管理,,下拉模块手动展开,2,"account_id,trace_info"
banner_freetrial_click,横幅按钮点击,"Android,iOS",已管理,,横幅按钮点击,2,"func,trace_info"
bugassistant_jira_submit,,iOS,未管理,,,1,token_owner_name
bugassistant_jira_submit_success,,iOS,未管理,,,2,"token_owner_name,jira_issue_url"
bugassistant_show,,iOS,未管理,,,1,token_owner_name
button_click,按钮点击,"Android,iOS",已管理,,enhance按钮点击上报,6,"meepo_abcode,pic_num,name,trace_info,language_name,meepo_abcount"
camera_default_video,,Android,未管理,,,5,"mode,if_search,视频数,icon_name,component_version"
camera_enter,进入相机页,"Android,iOS",已管理,,进入相机页时触发,4,"camera_enter_from,meepo_abcode,trace_info,meepo_abcount"
camera_filter_click,相机滤镜点击,"Android,iOS",已管理,,相机滤镜点击,8,"material_type,is_ai,filter_tag_id,meepo_abcode,filter_id,module,trace_info,meepo_abcount"
camera_filter_show,相机滤镜展示,"Android,iOS",已管理,,相机滤镜展示,8,"material_type,is_ai,filter_tag_id,meepo_abcode,filter_id,module,trace_info,meepo_abcount"
camera_normal_avg_fps,,Android,未管理,,,1,avg_fps
camera_photo_taken_filter_used,相机滤镜应用,"Android,iOS",已管理,,相机滤镜应用,5,"filter_tag_id,meepo_abcode,filter_id,trace_info,meepo_abcount"
camera_preview_discard,,Android,未管理,,,0,
camera_preview_enter,,Android,未管理,,,0,
camera_preview_enter_edit,,Android,未管理,,,0,
camera_preview_save,,Android,未管理,,,0,
camera_preview_save_with_filter,相机滤镜保存,"Android,iOS",已管理,,相机滤镜保存,5,"filter_tag_id,meepo_abcode,filter_id,trace_info,meepo_abcount"
camera_save,照片保存,"Android,iOS",已管理,,"1.若用户开启auto save，则在点击拍照按钮时触发
2.若用户关闭auto save，则在照片预览页点击保存时触发",27,"vignette_stat,photo_ratio,gridlines_stat,bm_smooth_value,bm_brighten_stat,filter_tag_id,trace_info,meepo_abcount,bm_face_width_value,blur_stat,autosave_stat,save_origin_stat,meepo_abcode,front_back,bm_acne_stat,bm_dark_circles_stat,bm_chin_value,bm_lip_size_value,bm_nose_size_value,bm_whiten_stat,bm_red_eye_stat,delay,bm_skin_tone_color,filter_id,bm_enlarge_stat,bm_contouring_value,flash"
camera_save_retouch,在相机保存页点击retouch时触发,"Android,iOS",已管理,,在相机保存页点击retouch时触发,1,trace_info
camera_save_share,在相机保存页点击分享时触发,"Android,iOS",已管理,,在相机保存页点击分享时触发,2,"share_to,trace_info"
camera_taken,在相机页点击拍照按钮,"Android,iOS",已管理,,在相机页点击拍照按钮时触发,27,"vignette_stat,photo_ratio,gridlines_stat,bm_smooth_value,bm_brighten_stat,filter_tag_id,trace_info,meepo_abcount,bm_face_width_value,blur_stat,autosave_stat,save_origin_stat,meepo_abcode,front_back,bm_acne_stat,bm_dark_circles_stat,bm_chin_value,bm_lip_size_value,bm_nose_size_value,bm_whiten_stat,bm_red_eye_stat,delay,bm_skin_tone_color,filter_id,bm_enlarge_stat,bm_contouring_value,flash"
camere_videochoose,,Android,未管理,,,8,"分辨率,mode,尺寸,if_search,icon_name,视频时长,分类,component_version"
cartoon_choose_image,,iOS,未管理,,,0,
change_device,gid初始化完成后,iOS,已管理,,gid初始化完成后,3,"gid,change_context,trace_info"
channel_adjust_result,,"Android,iOS",未管理,,,12,"clickLabel,trackerToken,jsonResponse,trackerName,costType,fbInstallReferrer,costAmount,campaign,costCurrency,creative,adgroup,network"
channel_asa_result,,iOS,未管理,,,20,"request,keywordId,impressionDate,campaignId,edesc,message,conversionType,supplyPlacement,orgId,clickDate,adGroupId,token,duration,start_time,claimType,adId,countryOrRegion,attribution,retry,status"
channel_asa_token,,iOS,未管理,,,5,"duration,start_time,retry,token,status"
check_ace_gl_init,,Android,未管理,,,0,
check_un_apk_lock,,Android,未管理,,,5,"ver,meepo_abcode,trace_info,gp,meepo_abcount"
check_un_apk_play,,Android,未管理,,,5,"ver,meepo_abcode,trace_info,gp,meepo_abcount"
clear_cache,用户清除缓存,"Android,iOS",已管理,,用户清除缓存时上报,4,"meepo_abcode,trace_info,cache_type,meepo_abcount"
click_onboarding,点击onboarding 页面按钮,"Android,iOS",已管理,,点击onboarding 页面按钮时上报,8,"video_time,entry,buttom,meepo_abcode,trace_info,action,page,meepo_abcount"
cloud_service_verify_order_alert_show,,iOS,未管理,,,5,"mode,if_search,type,icon_name,component_version"
cloudfilter_per_show,图片云处理权限弹窗点击,"Android,iOS",已管理,,,5,"port,meepo_abcode,function,trace_info,meepo_abcount"
cloudfilter_per_show_ok,图片云处理权限弹窗点击,"Android,iOS",已管理,,,7,"port,meepo_abcode,function,trace_info,type,version,meepo_abcount"
color_block_click,,"Android,iOS",未管理,,,5,"mode,颜色,icon_name,分类,component_version"
color_picker_click,,"Android,iOS",未管理,,,4,"mode,icon_name,分类,component_version"
color_plate_click,,"Android,iOS",未管理,,,4,"mode,icon_name,分类,component_version"
comp_edits_preview_enter,作品集预览页enter,"Android,iOS",已管理,,作品集预览页enter时上报,1,trace_info
comp_edits_preview_save,作品集预览页点击「save」,"Android,iOS",已管理,,作品集预览页点击「save」时上报,1,trace_info
connected_account_success,,"Android,iOS",未管理,,,4,"account_id,meepo_abcode,connect_type,meepo_abcount"
cons_info_click,点击功能单购页continue按钮,"Android,iOS",已管理,,点击功能单购页continue按钮上报,2,"button,func"
contact_us_enter,客服入口点击,"Android,iOS",已管理,,客服入口点击时上报,4,"meepo_abcode,trace_info,from,meepo_abcount"
continue_edit_click,,"Android,iOS",未管理,,,1,trace_info
continue_edit_show,,"Android,iOS",未管理,,,1,trace_info
crash_info,,Android,未管理,,,2,"summary,detail"
credit_info_enter,进入积分资讯页,"Android,iOS",已管理,,进入积分资讯页时上报,3,"meepo_abcode,trace_info,meepo_abcount"
debug_is_application_legal,,Android,未管理,,,0,
debug_is_jniconfig_error,,Android,未管理,,,0,
delete_model_cancel_pop_clk,,"Android,iOS",未管理,,,6,"meepo_abcode,button_type,trace_info,project,lang,meepo_abcount"
delete_model_retain_pop_appr,,"Android,iOS",未管理,,,5,"meepo_abcode,trace_info,project,lang,meepo_abcount"
delete_model_retain_pop_clk,,"Android,iOS",未管理,,,6,"meepo_abcode,button_type,trace_info,project,lang,meepo_abcount"
dev__use_effect_info,,Android,未管理,,,112,"帧率档位,setcover,画中画魔法照片,voice_enhancement,旋转,贴纸,media_type,默认分辨率档位,在线音乐,是否来自草稿,id,shoulder,image_matting,canvas,watermark,分割,lighting,音量,去双下巴,无声检测,排序,voice_effect,haunch,beauty_model_num,内容片段色度抠图,if_search,magnifier,AI美容,时长,skin,镜头,变速,eyes,删除,替换,component_version,一键成片,video_stitching,画质修复数,精致五官,图片张数,转场,镜头追踪,保存方式,from_type,倒放,contour,人像数量,白牙,卡点,acne,是否直传,noise_cancelling,skin_color,分辨率档位,icon_name,实况照片数,mode,function,画中画防抖片段数,动画,rcon_fragment_ewatermark,removeoil,picinpic_ewatermark,音效,画中画滤镜,音乐,同款分类,美妆,祛皱,边框,文字,手动瘦脸,info2,复制,魔法照片,AR贴纸,原始_人像个数,默认帧率档位,一键美颜,视频段数,words_behind_cnt,export_format,duration,item_following,hair,内容片段防抖片段数,字幕,矫正,mosaic,裁剪,模板ID,画中画色度抠图,调色,美颜,蒙版,smooth,镜像,bronzer,语音字幕,sp_bodybeauty_apply,画中画调色,画中画,身材美型,淡入淡出,material,body_beauty_model_num,尺寸,滤镜,混合模式,gif张数,画中画裁剪"
device_model_change,,iOS,未管理,,,4,"gid_list,old_model,type,current_model"
edit_banner_click,编辑器内横幅点击,"Android,iOS",已管理,,编辑器内横幅点击/交互时上报,6,"func,meepo_abcode,button_type,trace_info,type,meepo_abcount"
edit_banner_show,编辑器内横幅曝光,"Android,iOS",已管理,,编辑器内横幅曝光时上报,5,"func,meepo_abcode,trace_info,type,meepo_abcount"
edit_button_click,编辑器按钮点击,"Android,iOS",已管理,,,5,"meepo_abcode,button_type,first_func,trace_info,meepo_abcount"
edit_enter,进入编辑页,"Android,iOS",已管理,,进入编辑页时触发,13,"enter_from,edit_enter_from,image_resolution,trace_info,meepo_abcount,reduced_resolution,meepo_abcode,is_live,pro_resolution,first_source,image_format,photo_setting_resolution,second_source"
edit_save,编辑保存,"Android,iOS",已管理,,结束编辑最终保存时触发,26,"unlock_func,mod,face_num,prf_first_func,mids_category_id,image_resolution,trace_info,type,meepo_abcount,mids_material_id,tab,meepo_abcode,glitter_id,is_upload,prf_third_func,image_format,prf_share_unlock_func,enhance_quality,is_watermarked,prf_hair_func,prf_theme_type,makeup_id_custom,prf_material_type,img_quality,prf_second_func,prf_func_saved"
edit_saved_enhance,,iOS,未管理,,,2,"ai_auto,trace_info"
edit_saved_filter,,"Android,iOS",未管理,,,5,"filter_tag_id,meepo_abcode,filter_id,trace_info,meepo_abcount"
editor_filter_click,,Android,未管理,,,5,"filter_tag_id,meepo_abcode,filter_id,trace_info,meepo_abcount"
editor_filter_show,,Android,未管理,,,5,"filter_tag_id,meepo_abcode,filter_id,trace_info,meepo_abcount"
editor_race_detect,进入编辑页,"Android,iOS",已管理,,获得人种结果时上报,6,"race,gender,meepo_abcode,trace_info,meepo_abcount,age"
enter_onboarding,进入onboarding 页面,"Android,iOS",已管理,,进入onboarding 页面时上报(时机延迟到同意后上报),5,"entry,meepo_abcode,trace_info,page,meepo_abcount"
env_info_collect,,Android,未管理,,,2,"env_digits,is_support_64"
env_run_version,,"Android,iOS",未管理,,,4,"verif_name,verif_id,type,version"
filter_save_editor,,Android,未管理,,,5,"filter_tag_id,meepo_abcode,filter_id,trace_info,meepo_abcount"
firebase_callback,,Android,未管理,,,4,"meepo_abcode,firebase_id,trace_info,meepo_abcount"
first_app_created,,Android,未管理,,,0,
first_app_started,,Android,未管理,,,0,
first_func_click,,Android,未管理,,,4,"meepo_abcode,first_func,trace_info,meepo_abcount"
first_func_enter,点击一级功能页面,"Android,iOS",已管理,,点击一级功能页面时上报,8,"mod,tab,meepo_abcode,first_func,trace_info,first_func_order,is_tag,meepo_abcount"
first_func_exposure,一级功能曝光,"Android,iOS",已管理,,,5,"meepo_abcode,first_func,trace_info,is_tag,meepo_abcount"
first_func_use,一级功能使用,"Android,iOS",已管理,,一级功能使用时触发,125,"by_autobreast_value,brightness_stat,pl_nasal_base_value,pl_middle_value,mod,bm_smooth_value,bm_brighten_stat,by_necklength_value,auto_icon,type,is_custom,glitter_id,pl_forehead_value,pl_contour_value,bm_slim_stat,by_square_shoulders,is_adjust_background_protect,pl_troughs_value,bm_lip_size_value,pl_mouth_value,bm_nose_size_value,deglare_stat,breast_plus,bm_whiten_stat,by_waist_value,selection,pl_chin_value,is_recommend,prism_value,pl_sockets_value,is_text,bm_tint_value,bokeh_effect,by_waist,by_value,bokeh_brush,meepo_abcount,is_recomend_text,sp_prf_text_2,reshape_stat,sp_prf_text_1,meepo_abcode,temperature_stat,perspective,shadows_stat,bm_chin_value,prf_text,prf_volume_selection,texture_selection,nature_mod,by_neckwidth_value,classic_mod,by_buttock_value,grain_stat,by_auto_value,bm_tint_stat,muscle_effect,by_legs_value,fade_stat,is_passersby,is_background_protect,is_objects,skin_tone_custom_color,by_hips_value,rotate,by_shoulders_value,trace_info,is_effect,flash_stat,saturation_stat,mode,horizontal,by_breast_value,resize_stat,tab,first_func,version_type,is_adjust,bm_enlarge_value,contrast_stat,sp_texture_selection_2,sp_texture_selection_1,is_tag,is_auto,align_level,bm_whiten_value,bm_skin_tone_color,bm_enlarge_stat,ai_auto,by_arm_value,by_ai_shape,bm_contouring_value,prf_func_added,crop,is_spot_remover,vignette_stat,highlights_stat,vertical,bm_face_width_value,adjust_count,is_ai_eraser,by_length_value,pl_medial_malar_value,by_slim_value,by_tummy_value,is_adjust_auto,skin_tone_color,bm_acne_stat,bm_brighten_value,value,material_name,by_neck_value,bm_dark_circles_stat,presets_selection,by_head_value,sharpness_stat,type_value,is_mirror_stains,bm_red_eye_stat,bm_dark_circles_value,func,by_breast,eraser_stat,pl_eyes_value,hairdye_color"
first_mykit_redirect,,"Android,iOS",已管理,,,2,"func_redirected,trace_info"
first_start,启动app,"Android,iOS",已管理,,冷启动上报一次,14,"screen_width,maximum_texture,os_version,trace_info,remaining_diskspace,meepo_abcount,isTestFlight,cpu_count,ram_size,account_id,meepo_abcode,is_push_enabled,days_after_install,cpu_level"
fourth_func_click,四级功能点击,"Android,iOS",已管理,,四级功能点击时触发,12,"fourth_func,second_func,mod,tab,meepo_abcode,first_func,trace_info,third_func,from,is_tag,meepo_abcount,presets_selection"
fourth_func_enter,,"Android,iOS",已管理,,,15,"second_func,mod,trace_info,is_tag,meepo_abcount,second_func_order,fourth_func,tab,meepo_abcode,first_func,third_func,first_func_order,third_func_order,from,fourth_func_order"
fourth_func_exposure,四级功能曝光,"Android,iOS",已管理,,四级功能曝光,6,"fourth_func,second_func,first_func,trace_info,third_func,is_tag"
free_trial_page_click,点击「7天试用时间线页面」按钮,"Android,iOS",已管理,,点击「7天试用时间线页面」按钮时触发该事件,4,"meepo_abcode,trace_info,click_tab,meepo_abcount"
free_trial_page_show,「7天试用时间线页面」曝光,"Android,iOS",已管理,,「7天试用时间线页面」曝光时触发该事件,1,trace_info
func_enter_airepair,,"Android,iOS",未管理,,,0,
func_enter_edit_cam,进入编辑页中相机功能,"Android,iOS",已管理,,进入编辑页中相机功能时触发,0,
func_enter_snap_headshot,,"Android,iOS",未管理,,,3,"meepo_abcode,trace_info,meepo_abcount"
func_enter_snapid_headshot,,"Android,iOS",未管理,,,3,"meepo_abcode,trace_info,meepo_abcount"
func_use_airepair,,"Android,iOS",未管理,,,6,"func,meepo_abcode,is_recommend,trace_info,type,meepo_abcount"
func_use_airepair_result,,"Android,iOS",未管理,,,8,"func,meepo_abcode,is_recommend,trace_info,time,type,meepo_abcount,status"
func_use_cartoon,,iOS,未管理,,,1,is_success
func_use_edit_cam,在编辑页中相机功能拍照,iOS,已管理,,在编辑页中相机功能拍照时触发,23,"vignette_stat,bm_lip_size_value,photo_ratio,gridlines_stat,bm_smooth_value,bm_brighten_stat,filter_tag_id,bm_nose_size_value,trace_info,bm_whiten_stat,bm_face_width_value,bm_red_eye_stat,blur_stat,delay,bm_skin_tone_color,filter_id,bm_enlarge_stat,front_back,bm_acne_stat,bm_contouring_value,bm_dark_circles_stat,flash,bm_chin_value"
func_use_snap_outfit_result,,"Android,iOS",未管理,,,7,"outfit_is_success,meepo_abcode,outfit_material_name,trace_info,outfit_gender,outfit_time,meepo_abcount"
func_use_snapid_headshot,,"Android,iOS",未管理,,,10,"size,meepo_abcode,background,outfit_material_name,trace_info,outfit_gender,bangs,beauty_slide,meepo_abcount,id_name"
func_use_video_body,打勾视频body,"Android,iOS",已管理,,视频body打勾时触发,12,"by_hips_value,by_slim_value,by_breast_value,by_waist_value,by_auto_value,by_legs_value,by_head_value,by_shoulders_value,by_arm_value,by_square_shoulders,by_neck_value,by_length_value"
func_use_video_contour,应用视频五官立体功能,"Android,iOS",已管理,,应用视频五官立体功能时触发,10,"meepo_abcode,forehead_mod,eyes_mod,cheeks_mod,nose_mod,trace_info,chin_mod,eyebrows_mod,meepo_abcount,lips_mod"
func_use_video_plump,打勾视频plump,"Android,iOS",已管理,,视频plump打勾时上报,11,"pl_medial_malar_value,is_auto,pl_troughs_value,pl_nasal_base_value,pl_middle_value,pl_mouth_value,pl_eyes_value,pl_chin_value,pl_forehead_value,pl_contour_value,pl_sockets_value"
func_use_video_sculpt,应用video五官重塑功能,"Android,iOS",已管理,,应用video五官重塑功能时触发,48,"prf_lip_mod,prf_face_mod,sp_prf_eye_mod_8,sp_prf_face_mod_8,trace_info,sp_prf_face_mod_9,prf_mouth_mod,sp_prf_face_mod_6,sp_prf_face_mod_7,sp_prf_face_mod_4,sp_prf_face_mod_5,meepo_abcount,sp_prf_face_mod_2,sp_prf_face_mod_3,sp_prf_face_mod_1,meepo_abcode,prf_nose_mod,sp_prf_eye_mod_5,sp_prf_eye_mod_4,sp_prf_eye_mod_7,sp_prf_eye_mod_6,sp_prf_eye_mod_1,sp_prf_eye_mod_3,sp_prf_eye_mod_2,prf_eyebrow_mod,sp_prf_lip_mod_4,sp_prf_lip_mod_5,sp_prf_lip_mod_2,sp_prf_lip_mod_3,sp_prf_lip_mod_1,sp_prf_nose_mod_7,sp_prf_eyebrow_mod_3,sp_prf_nose_mod_6,sp_prf_eyebrow_mod_2,sp_prf_nose_mod_5,sp_prf_eyebrow_mod_1,sp_prf_nose_mod_4,sp_prf_eyebrow_mod_6,sp_prf_lip_mod_6,sp_prf_eyebrow_mod_5,sp_prf_eyebrow_mod_4,sp_prf_face_mod_11,sp_prf_face_mod_12,sp_prf_face_mod_10,prf_eye_mod,sp_prf_nose_mod_3,sp_prf_nose_mod_2,sp_prf_nose_mod_1"
func_video_enter,进入video编辑功能,"Android,iOS",已管理,,进入video编辑功能时触发,1,func
func_video_use,video功能打钩确认,"Android,iOS",已管理,,应用video功能时触发(打钩确认),1,func
gdpr_popup_click,点击GDPR 弹窗,"Android,iOS",已管理,,点击GDPR 弹窗时触发,2,"click_type,func"
gdpr_popup_show,GDPR 弹窗曝光,"Android,iOS",已管理,,GDPR 弹窗曝光时触发,1,func
generate_trigger_info,点击 Generate 提交任务,"Android,iOS",已管理,,点击 Generate 提交任务后触发,8,"error_message,meepo_abcode,trace_info,project,error_code,lang,is_success,meepo_abcount"
gid_change,,"Android,iOS",未管理,,,2,"new_gid,old_gid"
gid_extend_result,,iOS,未管理,,,4,"reason,num,extend_info,status"
gid_get_fail,,"Android,iOS",未管理,,,6,"error_info,cnt,count,error_code,type,retry_num"
gid_get_success,,"Android,iOS",未管理,,,5,"pre_stats,request_time,type,total_time,retry_num"
go_again_pop_appr,go again弹窗曝光,"Android,iOS",已管理,,go again弹窗曝光时上报,5,"meepo_abcode,trace_info,project,lang,meepo_abcount"
go_again_pop_clk,go again弹窗点击,"Android,iOS",已管理,,go again弹窗点击时上报,3,"button_type,project,lang"
h5_credit_consume,积分额度消耗,"Android,iOS",已管理,,积分额度消耗时触发,10,"entry,meepo_abcode,credit_amount,trace_info,project,theme,lang,theme_type,order_id,meepo_abcount"
h5_enter,,"Android,iOS",未管理,,,3,"trace_info,from,lang"
h5_home_content_clk,H5页面素材点击,"Android,iOS",已管理,,H5页面素材点击时上报,11,"page_id,entry,meepo_abcode,trace_info,project,theme,lang,theme_type,meepo_abcount,module_position,content_position"
h5_home_content_show_f,H5页面素材完全展示,"Android,iOS",已管理,,H5页面素材完全展示时上报,11,"page_id,entry,meepo_abcode,trace_info,project,theme,lang,theme_type,meepo_abcount,module_position,content_position"
h5_page_button_clk,Maigc Studio页面点击事件,"Android,iOS",已管理,,Maigc Studio页面点击时上报,25,"photo_num,save_type,delete_task_num,button_type,trace_info,project,task_id,share_platform,if_first,theme_type,meepo_abcount,page_id,category_id,meepo_abcode,theme,lang,theme_category,is_bundle,feedback_content,entry,material_id,style_id,is_pay,module_position,status"
h5_page_event,h5页面事件,"Android,iOS",已管理,,进入h5页面事件时上报,13,"theme_category,button_type,trace_info,project,theme_type,meepo_abcount,page_id,entry,meepo_abcode,theme,style_id,lang,status"
h5_page_task_suc_show_f,H5页面任务成功完全展示,"Android,iOS",已管理,,H5页面任务成功完全展示时上报,10,"page_id,entry,meepo_abcode,trace_info,project,theme,task_id,lang,theme_type,meepo_abcount"
h5_page_view,,"Android,iOS",未管理,,,8,"page_id,meepo_abcode,trace_info,project,theme,lang,theme_type,meepo_abcount"
h5_page_visit,进入h5页面,"Android,iOS",已管理,,进入h5页面时上报,6,"entry,meepo_abcode,trace_info,project,lang,meepo_abcount"
high_res_qualify,,Android,未管理,,,0,
