月份,市场,平台,功能,进入渗透率,渠道/自然
2026-06-01T00:00:00,整体,Android,Adjust,0.10641367636150936,Organic
2026-05-01T00:00:00,整体,Android,AI Tattoo,0.02947804506649161,Organic
2026-04-01T00:00:00,整体,iOS,Expression,0.03747685350959726,Organic
2026-01-01T00:00:00,整体,Android,Adjust,0.09153614701676177,Organic
2026-06-01T00:00:00,整体,iOS,Preset,0.08736360432393374,Organic
2026-07-01T00:00:00,整体,iOS,Resize,0.04227795063523976,Organic
2026-06-01T00:00:00,整体,Android,Glitter,0.04412853208491307,Organic
2026-06-01T00:00:00,整体,iOS,Stamp,0.010970412850574339,Organic
2026-02-01T00:00:00,整体,Android,Contour,0.021703317243597232,Organic
2026-02-01T00:00:00,整体,iOS,Contour,0.02595791317910624,Organic
2026-07-01T00:00:00,整体,iOS,AI Image,0.057455200633900014,Organic
2026-03-01T00:00:00,整体,Android,Smooth,0.1157271673553892,Organic
2026-05-01T00:00:00,整体,Android,AI Retouch,0.21746902016508163,Organic
2026-03-01T00:00:00,整体,iOS,AI Tattoo,0.01977348056881132,Organic
2026-05-01T00:00:00,整体,iOS,Glowup,0.08212455083544012,Organic
2026-02-01T00:00:00,整体,iOS,Skin Tone,0.09452153600884058,Organic
2026-04-01T00:00:00,整体,Android,Expression,0.041714716093316964,Organic
2026-02-01T00:00:00,整体,iOS,Body,0.0936711495142852,Organic
2026-04-01T00:00:00,整体,Android,Face Fix,0.05512865488613252,Organic
2026-07-01T00:00:00,整体,Android,Glitter,0.04051542954184272,Organic
2026-05-01T00:00:00,整体,Android,Dark Circles,0.03454598102547076,Organic
2026-02-01T00:00:00,整体,iOS,Matte,0.02313762648927306,Organic
2026-07-01T00:00:00,整体,Android,AI Replace,0.026309027594425955,Organic
2026-05-01T00:00:00,整体,iOS,Face,0.3122649320537509,Organic
2026-05-01T00:00:00,整体,Android,Eraser,0.11595277584570647,Organic
2026-04-01T00:00:00,整体,iOS,Eraser,0.11505101597324725,Organic
2026-05-01T00:00:00,整体,iOS,Reshape,0.13149342377592793,Organic
2026-02-01T00:00:00,整体,Android,Face Fix,0.05735893415508997,Organic
2026-04-01T00:00:00,整体,Android,Matte,0.01875969734982528,Organic
2026-06-01T00:00:00,整体,Android,AI Expand,0.02888222055883621,Organic
2026-01-01T00:00:00,整体,Android,Eye Brighten,0.020592034202626796,Organic
2026-02-01T00:00:00,整体,iOS,Dark Circles,0.05163385783514812,Organic
2026-05-01T00:00:00,整体,Android,Glitter,0.04520326429106297,Organic
2026-06-01T00:00:00,整体,Android,Filters,0.29973909657000664,Organic
2026-04-01T00:00:00,整体,Android,AI Tattoo,0.02988277399999668,Organic
2026-06-01T00:00:00,整体,Android,Reshape,0.10017167962070743,Organic
2026-04-01T00:00:00,整体,Android,Effects,0.08633329330332012,Organic
2026-05-01T00:00:00,整体,Android,Preset,0.0847896214300172,Organic
2026-05-01T00:00:00,整体,Android,AI Image,0.11320963668080526,Organic
2026-07-01T00:00:00,整体,iOS,Brighten,0.03416699774595063,Organic
2026-07-01T00:00:00,整体,iOS,Concealer,0.04527873666609415,Organic
2026-06-01T00:00:00,整体,Android,Relight,0.13578403022997382,Organic
2026-06-01T00:00:00,整体,iOS,Effects,0.10598812773769978,Organic
2026-05-01T00:00:00,整体,iOS,Filters,0.33201571695696797,Organic
2026-03-01T00:00:00,整体,Android,Acne,0.07080032157061619,Organic
2026-07-01T00:00:00,整体,iOS,Skin Tone,0.07541154616438153,Organic
2026-05-01T00:00:00,整体,iOS,Makeup,0.16634293772400288,Organic
2026-06-01T00:00:00,整体,Android,AI Replace,0.029093174065837762,Organic
2026-03-01T00:00:00,整体,iOS,Face Fix,0.06316025065990283,Organic
2026-06-01T00:00:00,整体,iOS,Details,0.019917999686638706,Organic
2026-03-01T00:00:00,整体,iOS,Brighten,0.054976438730454824,Organic
2026-07-01T00:00:00,整体,iOS,Teeth,0.05088195598042334,Organic
2026-01-01T00:00:00,整体,iOS,Face Fix,0.062089749259310295,Organic
2026-06-01T00:00:00,整体,Android,Expression,0.04098528802811804,Organic
2026-04-01T00:00:00,整体,Android,Body,0.06539636533432626,Organic
2026-04-01T00:00:00,整体,iOS,Matte,0.022534396532367364,Organic
2026-02-01T00:00:00,整体,iOS,Makeup,0.16842240664284464,Organic
2026-06-01T00:00:00,整体,Android,Eraser,0.11140203995061648,Organic
2026-01-01T00:00:00,整体,Android,Glitter,0.03740008249643121,Organic
2026-04-01T00:00:00,整体,iOS,AI Replace,0.016669836539901103,Organic
2026-07-01T00:00:00,整体,iOS,AI Tattoo,0.0215458694606202,Organic
2026-03-01T00:00:00,整体,Android,Skin Tone,0.07030556729752692,Organic
2026-05-01T00:00:00,整体,iOS,Background,0.05416917320766353,Organic
2026-04-01T00:00:00,整体,Android,AI Replace,0.030974891855370355,Organic
2026-01-01T00:00:00,整体,Android,Acne,0.05916830694914265,Organic
2026-01-01T00:00:00,整体,Android,Face Fix,0.04822625780655027,Organic
2026-03-01T00:00:00,整体,Android,Teeth,0.05122037106469315,Organic
2026-05-01T00:00:00,整体,Android,Acne,0.0730385788518849,Organic
2026-05-01T00:00:00,整体,Android,Contour,0.022316861163392737,Organic
2026-07-01T00:00:00,整体,iOS,Crop,0.0415153476003826,Organic
2026-01-01T00:00:00,整体,Android,AI Expand,0.041597139823004246,Organic
2026-01-01T00:00:00,整体,Android,Preset,0.07007762952193863,Organic
2026-01-01T00:00:00,整体,Android,Teeth,0.03939369708821295,Organic
2026-07-01T00:00:00,整体,iOS,Reshape,0.1270581214273672,Organic
2026-02-01T00:00:00,整体,iOS,Adjust,0.0933619696416894,Organic
2026-06-01T00:00:00,整体,iOS,Muscle,0.023306818029026063,Organic
2026-02-01T00:00:00,整体,Android,Dark Circles,0.03239032586961859,Organic
2026-03-01T00:00:00,整体,iOS,Resize,0.05819791003139742,Organic
2026-07-01T00:00:00,整体,Android,Background,0.06721866859833196,Organic
2026-04-01T00:00:00,整体,Android,Face,0.23952585130730047,Organic
2026-04-01T00:00:00,整体,Android,Brighten,0.043793501831508715,Organic
2026-07-01T00:00:00,整体,Android,Makeup,0.14838729957751537,Organic
2026-02-01T00:00:00,整体,iOS,AI Tattoo,0.018225466197575636,Organic
2026-03-01T00:00:00,整体,Android,Resize,0.03774678561078033,Organic
2026-07-01T00:00:00,整体,iOS,Plump,0.045093058619066845,Organic
2026-02-01T00:00:00,整体,iOS,Eraser,0.11063718371604847,Organic
2026-06-01T00:00:00,整体,iOS,Magic,0.2506011776556655,Organic
2026-03-01T00:00:00,整体,Android,Glowup,0.06605303289123503,Organic
2026-01-01T00:00:00,整体,Android,Skin Tone,0.057856057299381695,Organic
2026-02-01T00:00:00,整体,Android,Prism,0.02223513672147601,Organic
2026-06-01T00:00:00,整体,Android,Body,0.08228178763560152,Organic
2026-07-01T00:00:00,整体,iOS,Acne,0.09437862594644163,Organic
2026-05-01T00:00:00,整体,iOS,Acne,0.11042436376483009,Organic
2026-07-01T00:00:00,整体,iOS,Face Fix,0.04990334358449384,Organic
2026-07-01T00:00:00,整体,iOS,Contour,0.018774534203365407,Organic
2026-06-01T00:00:00,整体,iOS,Mykit,0.03239784081087744,Organic
2026-05-01T00:00:00,整体,iOS,Plump,0.051030247964253005,Organic
2026-06-01T00:00:00,整体,Android,Prism,0.01941965976389728,Organic
2026-05-01T00:00:00,整体,Android,Plump,0.04125502708171531,Organic
2026-04-01T00:00:00,整体,iOS,AI Retouch,0.2695791976388218,Organic
2026-02-01T00:00:00,整体,Android,AI Repair,0.07108090822759962,Organic
2026-05-01T00:00:00,整体,iOS,Concealer,0.06324400776495415,Organic
2026-07-01T00:00:00,整体,Android,Skin Tone,0.06465867375549256,Organic
2026-06-01T00:00:00,整体,Android,AI Repair,0.07961279277349342,Organic
2026-07-01T00:00:00,整体,iOS,Eye Brighten,0.023179240332970634,Organic
2026-06-01T00:00:00,整体,Android,Muscle,0.0348077326393357,Organic
2026-01-01T00:00:00,整体,iOS,Acne,0.13029862761949426,Organic
2026-04-01T00:00:00,整体,iOS,Filters,0.29473052611592787,Organic
2026-03-01T00:00:00,整体,Android,Glitter,0.04521164853746728,Organic
2026-07-01T00:00:00,整体,iOS,Clean Skin,0.05425131059976691,Organic
2026-04-01T00:00:00,整体,iOS,Mykit,0.030934059069067446,Organic
2026-03-01T00:00:00,整体,Android,Brighten,0.04195979519389496,Organic
2026-03-01T00:00:00,整体,Android,Relight,0.11070036297633161,Organic
2026-01-01T00:00:00,整体,iOS,Brighten,0.05282311875087515,Organic
2026-03-01T00:00:00,整体,iOS,Preset,0.05403530746811652,Organic
2026-07-01T00:00:00,整体,Android,Eye Brighten,0.022509791129971975,Organic
2026-02-01T00:00:00,整体,Android,AI Image,0.15059557654652292,Organic
2026-06-01T00:00:00,整体,Android,AI Retouch,0.23113342678179583,Organic
2026-05-01T00:00:00,整体,Android,Face Fix,0.0547670095252659,Organic
2026-02-01T00:00:00,整体,iOS,Expression,0.03834680644322327,Organic
2026-03-01T00:00:00,整体,iOS,Teeth,0.06821887339312038,Organic
2026-03-01T00:00:00,整体,Android,AI Expand,0.04802093206828732,Organic
2026-03-01T00:00:00,整体,iOS,AI Expand,0.02618969012468823,Organic
2026-06-01T00:00:00,整体,iOS,Expression,0.029663034466588783,Organic
2026-03-01T00:00:00,整体,iOS,Acne,0.1346383889885125,Organic
2026-06-01T00:00:00,整体,Android,Dark Circles,0.03447118982949597,Organic
2026-03-01T00:00:00,整体,iOS,Blur,0.05044314209471774,Organic
2026-01-01T00:00:00,整体,iOS,Preset,0.05039893656498366,Organic
2026-03-01T00:00:00,整体,iOS,Skin Tone,0.09520995402574159,Organic
2026-03-01T00:00:00,整体,Android,Contour,0.02071943586055702,Organic
2026-02-01T00:00:00,整体,Android,Adjust,0.1111454852068663,Organic
2026-02-01T00:00:00,整体,iOS,Crop,0.048102515178641565,Organic
2026-02-01T00:00:00,整体,iOS,Mykit,0.030294679737172547,Organic
2026-02-01T00:00:00,整体,iOS,Text,0.015027085671319046,Organic
2026-01-01T00:00:00,整体,Android,Brighten,0.03669454225706068,Organic
2026-07-01T00:00:00,整体,iOS,Relight,0.28470927456287076,Organic
2026-04-01T00:00:00,整体,iOS,Hair,0.1545765476729009,Organic
2026-02-01T00:00:00,整体,Android,Eraser,0.11077777195799277,Organic
2026-04-01T00:00:00,整体,iOS,Stamp,0.01355368245006985,Organic
2026-02-01T00:00:00,整体,Android,Expression,0.0437468043047184,Organic
2026-03-01T00:00:00,整体,Android,Face,0.2398241058544008,Organic
2026-06-01T00:00:00,整体,Android,Magic,0.25367235859787335,Organic
2026-01-01T00:00:00,整体,iOS,Blur,0.04866176555959225,Organic
2026-06-01T00:00:00,整体,Android,Mykit,0.05328974468175168,Organic
2026-01-01T00:00:00,整体,iOS,Concealer,0.06918056477033518,Organic
2026-01-01T00:00:00,整体,iOS,AI Retouch,0.24732319311298753,Organic
2026-03-01T00:00:00,整体,iOS,Eraser,0.11083930151989566,Organic
2026-07-01T00:00:00,整体,Android,Hair,0.1627716772571579,Organic
2026-04-01T00:00:00,整体,iOS,Crop,0.04737121953374849,Organic
2026-07-01T00:00:00,整体,iOS,Filters,0.3567207709076837,Organic
2026-01-01T00:00:00,整体,iOS,Body,0.0949115801851131,Organic
2026-06-01T00:00:00,整体,iOS,Acne,0.09476316401597362,Organic
2026-06-01T00:00:00,整体,Android,Acne,0.07312935900802281,Organic
2026-06-01T00:00:00,整体,Android,Glowup,0.06334847065398665,Organic
2026-02-01T00:00:00,整体,Android,Resize,0.03796292789649495,Organic
2026-04-01T00:00:00,整体,Android,Background,0.08243087158259034,Organic
2026-03-01T00:00:00,整体,iOS,AI Replace,0.018705782881564728,Organic
2026-06-01T00:00:00,整体,Android,Skin Tone,0.07232605798686119,Organic
2026-04-01T00:00:00,整体,iOS,Effects,0.07771834534118734,Organic
2026-02-01T00:00:00,整体,Android,Preset,0.09977245412951573,Organic
2026-07-01T00:00:00,整体,iOS,Bokeh,0.01518287517143416,Organic
2026-07-01T00:00:00,整体,Android,Bokeh,0.036359275018309274,Organic
2026-02-01T00:00:00,整体,Android,Glowup,0.06745707078282592,Organic
2026-01-01T00:00:00,整体,iOS,Dark Circles,0.050237004947468945,Organic
2026-03-01T00:00:00,整体,Android,AI Replace,0.034638969130202736,Organic
2026-05-01T00:00:00,整体,Android,Hair,0.20529741751276148,Organic
2026-05-01T00:00:00,整体,iOS,Bokeh,0.01729153095381193,Organic
2026-04-01T00:00:00,整体,iOS,Text,0.01567767072793089,Organic
2026-02-01T00:00:00,整体,Android,Concealer,0.05070906931425934,Organic
2026-03-01T00:00:00,整体,iOS,Dark Circles,0.051413179873545586,Organic
2026-02-01T00:00:00,整体,Android,Brighten,0.04192385621792595,Organic
2026-03-01T00:00:00,整体,iOS,Body,0.09081095381389168,Organic
2026-01-01T00:00:00,整体,iOS,Prism,0.010033422038676578,Organic
2026-03-01T00:00:00,整体,iOS,Expression,0.03864126912645509,Organic
2026-04-01T00:00:00,整体,iOS,Acne,0.122331708070149,Organic
2026-02-01T00:00:00,整体,Android,Face,0.22924007822550108,Organic
2026-03-01T00:00:00,整体,Android,AI Retouch,0.21295323218200732,Organic
2026-01-01T00:00:00,整体,iOS,Adjust,0.09234596650139483,Organic
2026-06-01T00:00:00,整体,iOS,Contour,0.02095019587217976,Organic
2026-01-01T00:00:00,整体,Android,Matte,0.016015232819347268,Organic
2026-03-01T00:00:00,整体,Android,Expression,0.0442593892562333,Organic
2026-05-01T00:00:00,整体,Android,Smooth,0.12172365086340635,Organic
2026-07-01T00:00:00,整体,Android,Magic,0.24583903960500403,Organic
2026-01-01T00:00:00,整体,Android,AI Image,0.10910266963650456,Organic
2026-02-01T00:00:00,整体,iOS,AI Expand,0.028149887782424447,Organic
2026-02-01T00:00:00,整体,iOS,Preset,0.05682758558080352,Organic
2026-01-01T00:00:00,整体,Android,Expression,0.03847465808197634,Organic
2026-07-01T00:00:00,整体,iOS,Hair,0.12418977567949871,Organic
2026-03-01T00:00:00,整体,iOS,Mykit,0.029940687121069814,Organic
2026-06-01T00:00:00,整体,iOS,Brighten,0.04590010575623223,Organic
2026-05-01T00:00:00,整体,Android,Magic,0.25159396322935235,Organic
2026-02-01T00:00:00,整体,iOS,Brighten,0.054226894504680066,Organic
2026-06-01T00:00:00,整体,iOS,Glitter,0.02743875179909003,Organic
2026-04-01T00:00:00,整体,Android,Makeup,0.13825825671375216,Organic
2026-05-01T00:00:00,整体,Android,Prism,0.020469971108848597,Organic
2026-04-01T00:00:00,整体,Android,Eye Brighten,0.023866347291253063,Organic
2026-01-01T00:00:00,整体,iOS,Mykit,0.029045687255404046,Organic
2026-04-01T00:00:00,整体,iOS,Face Fix,0.06144108853154815,Organic
2026-07-01T00:00:00,整体,iOS,Stamp,0.011636410240747965,Organic
2026-06-01T00:00:00,整体,Android,Face Fix,0.052825330049600674,Organic
2026-02-01T00:00:00,整体,Android,Relight,0.0919533931856746,Organic
2026-03-01T00:00:00,整体,Android,Matte,0.01812472188547871,Organic
2026-01-01T00:00:00,整体,iOS,Details,0.025804408476483617,Organic
2026-05-01T00:00:00,整体,Android,Filters,0.29495552422813476,Organic
2026-07-01T00:00:00,整体,Android,Stamp,0.021650732194299655,Organic
2026-02-01T00:00:00,整体,iOS,Relight,0.08471692889618569,Organic
2026-05-01T00:00:00,整体,Android,Muscle,0.036436333955028426,Organic
2026-01-01T00:00:00,整体,Android,AI Retouch,0.18184505383526306,Organic
2026-01-01T00:00:00,整体,iOS,AI Repair,0.041513207979611756,Organic
2026-04-01T00:00:00,整体,iOS,Skin Tone,0.09343125777413923,Organic
2026-02-01T00:00:00,整体,Android,AI Expand,0.049768207646657084,Organic
2026-02-01T00:00:00,整体,iOS,Face,0.3233255521624206,Organic
2026-02-01T00:00:00,整体,iOS,Concealer,0.0710704011993393,Organic
2026-02-01T00:00:00,整体,iOS,Blur,0.05161401368060272,Organic
2026-04-01T00:00:00,整体,iOS,Plump,0.05354240070086411,Organic
2026-01-01T00:00:00,整体,iOS,AI Replace,0.018850795689076667,Organic
2026-05-01T00:00:00,整体,Android,AI Repair,0.09302554057049348,Organic
2026-01-01T00:00:00,整体,Android,AI Repair,0.05816378591960262,Organic
2026-03-01T00:00:00,整体,iOS,AI Retouch,0.2610901049893571,Organic
2026-01-01T00:00:00,整体,Android,Dark Circles,0.02829856752213442,Organic
2026-01-01T00:00:00,整体,Android,AI Replace,0.03109728012209013,Organic
2026-07-01T00:00:00,整体,iOS,Muscle,0.02359616492589337,Organic
2026-04-01T00:00:00,整体,Android,Acne,0.07019046317960746,Organic
2026-04-01T00:00:00,整体,Android,Text,0.03727565895815659,Organic
2026-05-01T00:00:00,整体,iOS,Dark Circles,0.04333742020060903,Organic
2026-03-01T00:00:00,整体,Android,Magic,0.25413718896134935,Organic
2026-01-01T00:00:00,整体,Android,Eraser,0.09757239000064073,Organic
2026-01-01T00:00:00,整体,Android,Body,0.05286530552350037,Organic
2026-03-01T00:00:00,整体,iOS,Matte,0.023838230141178425,Organic
2026-01-01T00:00:00,整体,iOS,Eraser,0.10732785194948963,Organic
2026-04-01T00:00:00,整体,iOS,Teeth,0.06302482958747241,Organic
2026-04-01T00:00:00,整体,Android,Teeth,0.048243560370077675,Organic
2026-06-01T00:00:00,整体,Android,Effects,0.08388062680399157,Organic
2026-02-01T00:00:00,整体,Android,Blur,0.07821539031916333,Organic
2026-07-01T00:00:00,整体,iOS,Smooth,0.15078882963233475,Organic
2026-05-01T00:00:00,整体,iOS,Magic,0.31452460696897666,Organic
2026-06-01T00:00:00,整体,iOS,Dark Circles,0.037222092075695115,Organic
2026-04-01T00:00:00,整体,Android,Prism,0.020888387580082577,Organic
