功能组合,最终付费_进入人数,最终付费_进入人数占比,最终付费_进入到打勾转化率,最终付费_打勾到保存转化率,最终未付费_进入人数,最终未付费_进入人数占比,最终未付费_进入到打勾转化率,最终未付费_打勾到保存转化率
Filters + Plump,2650.0,8.81%,20.23%,67.35%,14708.0,8.42%,18.92%,62.86%
Body + Glowup,2643.0,8.79%,36.89%,69.98%,13739.0,7.87%,33.92%,66.12%
Magic + Teeth,2643.0,8.79%,0.00%,nan%,11046.0,6.33%,0.01%,100.00%
Preset + Skin,2627.0,8.74%,10.85%,68.77%,13748.0,7.88%,10.26%,61.59%
Effects + Makeup,2624.0,8.73%,2.78%,68.49%,13223.0,7.57%,2.57%,58.82%
AI Image + Hair,2607.0,8.67%,8.52%,59.01%,17847.0,10.22%,10.34%,58.02%
Eraser + Hair,2506.0,8.33%,24.30%,56.98%,13892.0,7.96%,24.50%,55.95%
Relight + Reshape,2503.0,8.33%,34.80%,68.43%,12004.0,6.88%,31.93%,64.47%
Makeup + Plump,2500.0,8.32%,30.44%,63.86%,13669.0,7.83%,28.22%,56.07%
Glowup + Relight,2483.0,8.26%,28.27%,69.66%,13056.0,7.48%,26.10%,63.76%
Face + Resize,2474.0,8.23%,34.96%,66.59%,11247.0,6.44%,33.52%,64.15%
Background + Hair,2443.0,8.13%,7.25%,72.32%,14199.0,8.13%,7.20%,61.94%
Effects + Preset,2436.0,8.10%,0.94%,56.52%,13968.0,8.00%,0.92%,53.49%
Filters + Teeth,2423.0,8.06%,0.00%,nan%,10719.0,6.14%,0.01%,100.00%
Preset + Relight,2407.0,8.01%,7.19%,65.32%,13390.0,7.67%,6.59%,66.02%
AI Image + Skin,2397.0,7.97%,11.60%,55.04%,13643.0,7.81%,13.35%,53.81%
Body + Relight,2352.0,7.82%,45.49%,71.34%,11998.0,6.87%,39.49%,70.11%
Adjust + Hair,2338.0,7.78%,19.29%,53.66%,12345.0,7.07%,19.94%,50.67%
AI Repair + AI Retouch,2337.0,7.77%,27.00%,59.27%,12939.0,7.41%,23.66%,53.00%
AI Retouch + Expression,2320.0,7.72%,21.51%,36.67%,13407.0,7.68%,18.02%,31.08%
AI Repair + Face,2314.0,7.70%,31.29%,56.35%,12783.0,7.32%,27.84%,54.10%
Magic + Resize,2304.0,7.66%,31.21%,64.86%,10286.0,5.89%,27.90%,59.96%
Background + Skin,2303.0,7.66%,9.55%,67.87%,11747.0,6.73%,9.77%,64.98%
Hair + Plump,2283.0,7.59%,23.96%,55.03%,12664.0,7.25%,23.62%,49.97%
Filters + Resize,2256.0,7.50%,22.70%,70.31%,10693.0,6.13%,19.17%,66.73%
Glowup + Plump,2252.0,7.49%,25.62%,61.42%,12697.0,7.27%,23.87%,55.55%
Effects + Glowup,2243.0,7.46%,2.45%,63.64%,11735.0,6.72%,2.01%,57.63%
Expression + Magic,2233.0,7.43%,23.38%,41.19%,12760.0,7.31%,20.02%,35.45%
AI Image + Effects,2228.0,7.41%,1.26%,57.14%,13895.0,7.96%,1.40%,61.54%
AI Retouch + Resize,2207.0,7.34%,24.88%,56.10%,9982.0,5.72%,22.03%,54.23%
Makeup + Preset,2189.0,7.28%,10.14%,62.16%,12100.0,6.93%,9.22%,61.65%
Face Fix + Reshape,2189.0,7.28%,13.80%,7.95%,10874.0,6.23%,12.86%,10.08%
Expression + Filters,2187.0,7.27%,16.74%,42.62%,13050.0,7.48%,13.94%,40.90%
AI Image + Relight,2176.0,7.24%,13.14%,58.74%,13763.0,7.88%,13.69%,61.38%
Crop + Filters,2163.0,7.19%,45.31%,79.61%,10930.0,6.26%,40.72%,76.84%
Makeup + Teeth,2149.0,7.15%,0.00%,nan%,9168.0,5.25%,0.01%,100.00%
Resize + Skin,2132.0,7.09%,43.71%,68.67%,9058.0,5.19%,39.85%,66.19%
Body + Resize,2122.0,7.06%,40.76%,65.70%,9773.0,5.60%,38.66%,65.25%
AI Repair + Relight,2098.0,6.98%,32.65%,67.45%,12204.0,6.99%,29.38%,62.42%
Adjust + Eraser,2089.0,6.95%,29.87%,68.91%,10911.0,6.25%,28.71%,64.45%
Background + Effects,2086.0,6.94%,1.39%,76.67%,11618.0,6.65%,1.41%,65.24%
Eraser + Makeup,2086.0,6.94%,32.98%,68.31%,10808.0,6.19%,31.47%,66.36%
Expression + Skin,2066.0,6.87%,27.15%,39.22%,11314.0,6.48%,23.77%,35.03%
Effects + Reshape,2037.0,6.78%,1.82%,45.95%,9670.0,5.54%,1.86%,47.22%
Eraser + Reshape,2028.0,6.75%,44.33%,73.67%,9900.0,5.67%,42.80%,72.18%
AI Repair + Skin,2027.0,6.74%,38.73%,64.97%,10134.0,5.80%,37.62%,57.01%
Hair + Teeth,2025.0,6.74%,0.00%,nan%,9474.0,5.43%,0.01%,100.00%
Background + Relight,2021.0,6.72%,6.88%,65.47%,10943.0,6.27%,6.33%,62.34%
Expression + Hair,2014.0,6.70%,19.46%,34.18%,11986.0,6.87%,17.34%,30.51%
Expression + Face Fix,2003.0,6.66%,13.33%,12.73%,11896.0,6.81%,11.53%,13.78%
Adjust + Effects,1995.0,6.64%,2.01%,67.50%,10024.0,5.74%,1.70%,58.24%
Body + Face Fix,1985.0,6.60%,19.35%,11.72%,10363.0,5.94%,17.37%,13.44%
AI Image + Makeup,1980.0,6.59%,9.90%,57.65%,11978.0,6.86%,12.26%,58.23%
Adjust + Makeup,1956.0,6.51%,27.56%,64.01%,9305.0,5.33%,28.43%,62.89%
Expression + Makeup,1950.0,6.49%,22.67%,41.63%,10827.0,6.20%,19.86%,31.95%
Background + Makeup,1949.0,6.48%,8.57%,68.86%,10207.0,5.85%,8.30%,63.52%
Body + Effects,1931.0,6.42%,1.97%,55.26%,9680.0,5.54%,2.00%,55.15%
Adjust + Reshape,1911.0,6.36%,31.50%,68.27%,8946.0,5.12%,28.92%,65.51%
Glowup + Preset,1901.0,6.32%,7.94%,66.23%,10848.0,6.21%,7.66%,63.34%
AI Repair + Hair,1888.0,6.28%,19.49%,54.89%,11186.0,6.41%,20.70%,48.36%
Effects + Eraser,1880.0,6.25%,1.49%,67.86%,9687.0,5.55%,1.49%,56.94%
Crop + Magic,1878.0,6.25%,51.92%,72.92%,9070.0,5.20%,44.93%,67.57%
AI Image + Preset,1837.0,6.11%,2.50%,54.35%,12424.0,7.12%,3.32%,56.42%
AI Image + Background,1815.0,6.04%,3.80%,72.46%,11263.0,6.45%,3.37%,62.80%
Crop + Face,1809.0,6.02%,56.38%,66.90%,8589.0,4.92%,52.59%,65.10%
Body + Eraser,1802.0,5.99%,49.28%,74.44%,8961.0,5.13%,47.16%,72.60%
Plump + Reshape,1797.0,5.98%,27.82%,60.40%,9284.0,5.32%,27.45%,55.33%
Expression + Glowup,1781.0,5.92%,17.57%,37.38%,10563.0,6.05%,15.72%,33.03%
AI Image + Glowup,1774.0,5.90%,7.50%,54.14%,10837.0,6.21%,8.47%,54.25%
Face Fix + Relight,1769.0,5.88%,13.45%,14.29%,9334.0,5.35%,12.10%,12.05%
Glowup + Teeth,1744.0,5.80%,0.00%,nan%,7849.0,4.50%,0.00%,nan%
Background + Preset,1739.0,5.78%,1.78%,58.06%,10183.0,5.83%,1.91%,63.59%
Effects + Face Fix,1725.0,5.74%,1.10%,5.26%,9049.0,5.18%,1.22%,13.64%
AI Retouch + Crop,1723.0,5.73%,45.68%,66.58%,8078.0,4.63%,41.76%,61.46%
Adjust + Preset,1713.0,5.70%,5.72%,57.14%,8765.0,5.02%,5.80%,63.98%
Face Fix + Teeth,1705.0,5.67%,0.00%,nan%,7821.0,4.48%,0.00%,nan%
Face Fix + Plump,1702.0,5.66%,11.40%,10.82%,9647.0,5.53%,11.49%,9.12%
AI Repair + Eraser,1695.0,5.64%,30.62%,64.35%,9834.0,5.63%,28.96%,62.36%
Preset + Reshape,1681.0,5.59%,7.91%,57.14%,8712.0,4.99%,6.20%,59.63%
Background + Eraser,1679.0,5.58%,7.21%,61.16%,9099.0,5.21%,6.56%,64.15%
Blur + Filters,1662.0,5.53%,24.31%,70.54%,8491.0,4.86%,22.07%,71.18%
Eraser + Glowup,1658.0,5.51%,27.38%,66.52%,8374.0,4.80%,23.90%,63.32%
AI Repair + Adjust,1655.0,5.50%,26.34%,63.76%,9270.0,5.31%,24.89%,58.26%
Hair + Resize,1647.0,5.48%,20.70%,48.97%,7931.0,4.54%,19.91%,49.21%
Adjust + Body,1641.0,5.46%,35.04%,67.13%,7881.0,4.51%,33.30%,65.41%
Adjust + Glowup,1633.0,5.43%,24.92%,66.34%,7892.0,4.52%,22.52%,62.49%
Body + Preset,1624.0,5.40%,8.50%,69.57%,8913.0,5.11%,8.16%,68.64%
AI Image + AI Repair,1618.0,5.38%,8.03%,55.38%,10607.0,6.08%,9.05%,52.40%
AI Image + Body,1602.0,5.33%,10.49%,57.74%,9364.0,5.36%,12.40%,56.63%
Background + Glowup,1599.0,5.32%,6.63%,65.09%,8712.0,4.99%,5.90%,65.76%
Reshape + Stretch,1598.0,5.31%,31.23%,50.10%,7796.0,4.47%,30.08%,49.47%
AI Image + Reshape,1598.0,5.31%,7.32%,38.46%,9121.0,5.22%,8.26%,46.95%
Body + Plump,1588.0,5.28%,33.82%,64.06%,8521.0,4.88%,33.34%,59.20%
Makeup + Resize,1569.0,5.22%,26.45%,66.99%,7038.0,4.03%,24.95%,59.79%
Glowup + Resize,1553.0,5.17%,24.92%,59.95%,7135.0,4.09%,20.94%,56.99%
Crop + Relight,1546.0,5.14%,54.33%,74.76%,7664.0,4.39%,50.14%,69.58%
AI Image + Eraser,1544.0,5.14%,7.84%,54.55%,9338.0,5.35%,8.92%,56.17%
AI Repair + Makeup,1529.0,5.09%,27.99%,61.45%,7802.0,4.47%,26.66%,56.59%
Crop + Skin,1529.0,5.09%,72.27%,73.48%,7011.0,4.02%,68.01%,69.61%
AI Repair + Effects,1524.0,5.07%,1.90%,58.62%,8702.0,4.98%,2.02%,49.15%
Reshape + Teeth,1513.0,5.03%,0.00%,nan%,6085.0,3.49%,0.00%,nan%
Eraser + Preset,1509.0,5.02%,6.56%,56.57%,8377.0,4.80%,5.25%,65.00%
Filters + Glitter,1478.0,4.92%,13.33%,22.84%,8887.0,5.09%,10.27%,21.36%
AI Image + Adjust,1472.0,4.90%,7.61%,55.36%,8741.0,5.01%,8.27%,59.20%
AI Image + Face Fix,1459.0,4.85%,4.25%,11.29%,8848.0,5.07%,4.70%,14.90%
