层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.乌克兰.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,970.0,1013.0,1120.0,933.0,1113.0,978.0,591.0,495.0,1598.0,1573.0,1463.0,1402.0,1209.0,1292.0,-43.0,-4.244817,-43.0,-0.017863,-0.000745
1.乌克兰.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,14776.0,6304.0,6500.0,5677.0,7164.0,7630.0,7282.0,7808.0,4626.0,6200.0,6982.0,6501.0,5051.0,4915.0,8472.0,134.390863,8472.0,3.519412,0.146698
1.乌克兰.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,56810.0,51075.0,52613.0,48301.0,53823.0,55493.0,54676.0,80941.0,72780.0,80925.0,81494.0,77225.0,75918.0,75017.0,5735.0,11.228585,5735.0,2.382416,0.099305
1.乌兹别克斯坦,乌兹别克斯坦MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,4046.0,3489.0,3429.0,3233.0,4060.0,4229.0,4442.0,5487.0,4400.0,5319.0,4908.0,4754.0,4892.0,5173.0,557.0,15.96446,557.0,0.231387,0.009645
1.乌兹别克斯坦.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1305.0,846.0,803.0,773.0,1071.0,991.0,1244.0,1480.0,904.0,1523.0,1203.0,1038.0,837.0,966.0,459.0,54.255319,459.0,0.190676,0.007948
1.乌兹别克斯坦.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,155.0,147.0,160.0,139.0,148.0,141.0,100.0,40.0,140.0,168.0,142.0,125.0,139.0,261.0,8.0,5.442177,8.0,0.003323,0.000139
1.乌兹别克斯坦.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,1150.0,699.0,643.0,634.0,923.0,850.0,1144.0,1440.0,764.0,1355.0,1061.0,913.0,698.0,705.0,451.0,64.520744,451.0,0.187353,0.007809
1.乌兹别克斯坦.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,2741.0,2643.0,2626.0,2460.0,2989.0,3238.0,3198.0,4007.0,3496.0,3796.0,3705.0,3716.0,4055.0,4207.0,98.0,3.707908,98.0,0.040711,0.001697
1.乌干达,乌干达MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,2374.0,2117.0,2133.0,2270.0,2351.0,2791.0,2538.0,3221.0,2880.0,3075.0,2963.0,2852.0,3221.0,3102.0,257.0,12.139821,257.0,0.106762,0.00445
1.乌干达.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,544.0,384.0,365.0,356.0,374.0,476.0,358.0,519.0,351.0,372.0,421.0,292.0,350.0,314.0,160.0,41.666667,160.0,0.066467,0.00277
1.乌干达.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,28.0,19.0,26.0,9.0,16.0,22.0,5.0,9.0,38.0,42.0,36.0,26.0,32.0,27.0,9.0,47.368421,9.0,0.003739,0.000156
1.乌干达.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,516.0,365.0,339.0,347.0,358.0,454.0,353.0,510.0,313.0,330.0,385.0,266.0,318.0,287.0,151.0,41.369863,151.0,0.062728,0.002615
1.乌干达.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,1830.0,1733.0,1768.0,1914.0,1977.0,2315.0,2180.0,2702.0,2529.0,2703.0,2542.0,2560.0,2871.0,2788.0,97.0,5.59723,97.0,0.040295,0.00168
1.乌拉圭,乌拉圭MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,3301.0,3673.0,3619.0,4042.0,5342.0,4732.0,4004.0,5133.0,4053.0,4271.0,4204.0,3922.0,4137.0,4307.0,-372.0,-10.127961,-372.0,-0.154535,-0.006441
1.乌拉圭.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,392.0,458.0,428.0,514.0,697.0,619.0,542.0,504.0,372.0,403.0,409.0,364.0,369.0,367.0,-66.0,-14.41048,-66.0,-0.027418,-0.001143
1.乌拉圭.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,65.0,63.0,67.0,78.0,68.0,78.0,43.0,19.0,65.0,59.0,48.0,45.0,32.0,63.0,2.0,3.174603,2.0,0.000831,3.5e-05
1.乌拉圭.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,327.0,395.0,361.0,436.0,629.0,541.0,499.0,485.0,307.0,344.0,361.0,319.0,337.0,304.0,-68.0,-17.21519,-68.0,-0.028248,-0.001177
1.乌拉圭.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,2909.0,3215.0,3191.0,3528.0,4645.0,4113.0,3462.0,4629.0,3681.0,3868.0,3795.0,3558.0,3768.0,3940.0,-306.0,-9.517885,-306.0,-0.127118,-0.005299
1.乍得,乍得MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,213.0,196.0,186.0,180.0,266.0,210.0,237.0,396.0,326.0,500.0,367.0,246.0,220.0,253.0,17.0,8.673469,17.0,0.007062,0.000294
1.乍得.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,95.0,79.0,60.0,56.0,112.0,65.0,48.0,165.0,78.0,238.0,136.0,41.0,16.0,21.0,16.0,20.253165,16.0,0.006647,0.000277
1.乍得.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,2.0,19.0,5.0,,1.0,2.0,,,1.0,,3.0,1.0,1.0,,-17.0,-89.473684,-17.0,-0.007062,-0.000294
1.乍得.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,93.0,60.0,55.0,56.0,111.0,63.0,48.0,165.0,77.0,238.0,133.0,40.0,15.0,21.0,33.0,55.0,33.0,0.013709,0.000571
1.乍得.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,118.0,117.0,126.0,124.0,154.0,145.0,189.0,231.0,248.0,262.0,231.0,205.0,204.0,232.0,1.0,0.854701,1.0,0.000415,1.7e-05
1.也门,也门MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,896.0,805.0,795.0,793.0,1046.0,1161.0,1213.0,1655.0,1256.0,1366.0,1377.0,876.0,1744.0,2830.0,91.0,11.304348,91.0,0.037803,0.001576
1.也门.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,289.0,171.0,123.0,133.0,161.0,143.0,172.0,402.0,152.0,331.0,260.0,124.0,109.0,182.0,118.0,69.005848,118.0,0.049019,0.002043
1.也门.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,4.0,3.0,5.0,,2.0,,2.0,1.0,10.0,23.0,10.0,6.0,8.0,17.0,1.0,33.333333,1.0,0.000415,1.7e-05
1.也门.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,285.0,168.0,118.0,133.0,159.0,143.0,170.0,401.0,142.0,308.0,250.0,118.0,101.0,165.0,117.0,69.642857,117.0,0.048604,0.002026
1.也门.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,607.0,634.0,672.0,660.0,885.0,1018.0,1041.0,1253.0,1104.0,1035.0,1117.0,752.0,1635.0,2648.0,-27.0,-4.258675,-27.0,-0.011216,-0.000468
1.亚美尼亚,亚美尼亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,5269.0,4642.0,4482.0,4351.0,4936.0,4971.0,5190.0,6865.0,5551.0,6861.0,6748.0,6076.0,6073.0,5722.0,627.0,13.507109,627.0,0.260466,0.010857
1.亚美尼亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,990.0,758.0,605.0,686.0,824.0,742.0,791.0,820.0,506.0,757.0,807.0,705.0,600.0,492.0,232.0,30.60686,232.0,0.096377,0.004017
1.亚美尼亚.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,69.0,49.0,49.0,60.0,74.0,62.0,34.0,10.0,66.0,89.0,109.0,49.0,44.0,48.0,20.0,40.816327,20.0,0.008308,0.000346
1.亚美尼亚.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,921.0,709.0,556.0,626.0,750.0,680.0,757.0,810.0,440.0,668.0,698.0,656.0,556.0,444.0,212.0,29.901269,212.0,0.088068,0.003671
1.亚美尼亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,4279.0,3884.0,3877.0,3665.0,4112.0,4229.0,4399.0,6045.0,5045.0,6104.0,5941.0,5371.0,5473.0,5230.0,395.0,10.169928,395.0,0.16409,0.00684
1.以色列,以色列MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,19810.0,17777.0,14750.0,14971.0,15988.0,16695.0,17083.0,24349.0,19119.0,20547.0,20025.0,19253.0,20537.0,19569.0,2033.0,11.436125,2033.0,0.844543,0.035203
1.以色列.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,3842.0,3846.0,1767.0,1767.0,1911.0,2182.0,2362.0,2243.0,1311.0,1803.0,1696.0,1507.0,1818.0,1405.0,-4.0,-0.104004,-4.0,-0.001662,-6.9e-05
1.以色列.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,105.0,81.0,106.0,99.0,80.0,69.0,53.0,37.0,94.0,109.0,83.0,75.0,83.0,98.0,24.0,29.62963,24.0,0.00997,0.000416
1.以色列.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,3737.0,3765.0,1661.0,1668.0,1831.0,2113.0,2309.0,2206.0,1217.0,1694.0,1613.0,1432.0,1735.0,1307.0,-28.0,-0.743692,-28.0,-0.011632,-0.000485
1.以色列.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,15968.0,13931.0,12983.0,13204.0,14077.0,14513.0,14721.0,22106.0,17808.0,18744.0,18329.0,17746.0,18719.0,18164.0,2037.0,14.622066,2037.0,0.846204,0.035272
1.伊拉克,伊拉克MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,12116.0,11385.0,10196.0,9862.0,11748.0,11983.0,11757.0,15291.0,12758.0,13728.0,13608.0,13438.0,13162.0,15009.0,731.0,6.420729,731.0,0.30367,0.012658
1.伊拉克.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,4159.0,3582.0,2755.0,2548.0,3181.0,2888.0,2957.0,4530.0,2943.0,3280.0,3626.0,3333.0,2990.0,3850.0,577.0,16.108319,577.0,0.239696,0.009991
1.伊拉克.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,220.0,212.0,244.0,137.0,123.0,100.0,73.0,70.0,268.0,260.0,217.0,194.0,189.0,241.0,8.0,3.773585,8.0,0.003323,0.000139
1.伊拉克.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,3939.0,3370.0,2511.0,2411.0,3058.0,2788.0,2884.0,4460.0,2675.0,3020.0,3409.0,3139.0,2801.0,3609.0,569.0,16.884273,569.0,0.236372,0.009853
1.伊拉克.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,7957.0,7803.0,7441.0,7314.0,8567.0,9095.0,8800.0,10761.0,9815.0,10448.0,9982.0,10105.0,10172.0,11159.0,154.0,1.9736,154.0,0.063974,0.002667
1.伊朗,伊朗MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,28657.0,2365.0,1772.0,54984.0,52921.0,94185.0,91147.0,104925.0,98422.0,102903.0,96906.0,94063.0,107285.0,112585.0,26292.0,1111.712474,26292.0,10.922143,0.455262
1.伊朗.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,4104.0,138.0,65.0,6557.0,6204.0,14339.0,13088.0,17563.0,12043.0,15078.0,11281.0,10121.0,14612.0,13755.0,3966.0,2873.913043,3966.0,1.647544,0.068674
1.伊朗.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,167.0,6.0,4.0,630.0,1491.0,1350.0,769.0,1208.0,4228.0,5119.0,3808.0,2769.0,4446.0,4218.0,161.0,2683.333333,161.0,0.066882,0.002788
1.伊朗.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,3937.0,132.0,61.0,5927.0,4713.0,12989.0,12319.0,16355.0,7815.0,9959.0,7473.0,7352.0,10166.0,9537.0,3805.0,2882.575758,3805.0,1.580662,0.065886
1.伊朗.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,24553.0,2227.0,1707.0,48427.0,46717.0,79846.0,78059.0,87362.0,86379.0,87825.0,85625.0,83942.0,92673.0,98830.0,22326.0,1002.514594,22326.0,9.274599,0.386588
1.伯利兹,伯利兹MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,656.0,657.0,714.0,615.0,706.0,722.0,620.0,695.0,556.0,638.0,678.0,735.0,709.0,764.0,-1.0,-0.152207,-1.0,-0.000415,-1.7e-05
1.伯利兹.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,100.0,85.0,95.0,61.0,71.0,96.0,90.0,72.0,35.0,46.0,50.0,55.0,45.0,59.0,15.0,17.647059,15.0,0.006231,0.00026
1.伯利兹.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,4.0,10.0,16.0,5.0,5.0,11.0,9.0,1.0,2.0,4.0,5.0,7.0,3.0,1.0,-6.0,-60.0,-6.0,-0.002493,-0.000104
1.伯利兹.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,96.0,75.0,79.0,56.0,66.0,85.0,81.0,71.0,33.0,42.0,45.0,48.0,42.0,58.0,21.0,28.0,21.0,0.008724,0.000364
1.伯利兹.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,556.0,572.0,619.0,554.0,635.0,626.0,530.0,623.0,521.0,592.0,628.0,680.0,664.0,705.0,-16.0,-2.797203,-16.0,-0.006647,-0.000277
1.佛得角,佛得角MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,577.0,507.0,527.0,411.0,576.0,547.0,449.0,501.0,640.0,667.0,710.0,700.0,666.0,561.0,70.0,13.806706,70.0,0.029079,0.001212
1.佛得角.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,87.0,88.0,56.0,33.0,54.0,64.0,30.0,48.0,34.0,44.0,43.0,35.0,36.0,37.0,-1.0,-1.136364,-1.0,-0.000415,-1.7e-05
1.佛得角.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,2.0,5.0,3.0,2.0,4.0,3.0,1.0,1.0,3.0,,3.0,3.0,2.0,2.0,-3.0,-60.0,-3.0,-0.001246,-5.2e-05
1.佛得角.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,85.0,83.0,53.0,31.0,50.0,61.0,29.0,47.0,31.0,44.0,40.0,32.0,34.0,35.0,2.0,2.409639,2.0,0.000831,3.5e-05
1.佛得角.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,490.0,419.0,471.0,378.0,522.0,483.0,419.0,453.0,606.0,623.0,667.0,665.0,630.0,524.0,71.0,16.945107,71.0,0.029495,0.001229
1.俄罗斯,俄罗斯MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,346618.0,313727.0,351664.0,337970.0,395933.0,393532.0,391052.0,493407.0,396722.0,420403.0,440748.0,411333.0,400970.0,369855.0,32891.0,10.483956,32891.0,13.663479,0.569528
1.俄罗斯.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,57614.0,44728.0,51073.0,49707.0,70877.0,70455.0,74818.0,71464.0,45504.0,53716.0,57178.0,47015.0,42701.0,38493.0,12886.0,28.809694,12886.0,5.353063,0.223129
1.俄罗斯.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,10377.0,8878.0,11333.0,10777.0,14053.0,14121.0,10917.0,4786.0,14296.0,15208.0,13818.0,11765.0,12481.0,11385.0,1499.0,16.884433,1499.0,0.62271,0.025956
1.俄罗斯.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,47237.0,35850.0,39740.0,38930.0,56824.0,56334.0,63901.0,66678.0,31208.0,38508.0,43360.0,35250.0,30220.0,27108.0,11387.0,31.762901,11387.0,4.730353,0.197173
